,Date,Daily Max 8-hour CO Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,CBSA_NAME,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
63,05/03/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/03/2020,Bronx,307,39223,1869,101475
64,05/04/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/04/2020,Bronx,253,39476,2001,103476
65,05/05/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/05/2020,Bronx,363,39839,2657,106133
66,05/06/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/06/2020,Bronx,342,40181,2786,108919
67,05/07/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/07/2020,Bronx,352,40533,3078,111997
68,05/08/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/08/2020,Bronx,271,40804,2873,114870
69,05/09/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/09/2020,Bronx,255,41059,2935,117805
70,05/10/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/10/2020,Bronx,237,41296,2140,119945
71,05/11/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/11/2020,Bronx,145,41441,1510,121455
72,05/12/2020,0.1,1,PFIZER LAB SITE,18,75.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/12/2020,Bronx,236,41677,2678,124133
73,05/13/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/13/2020,Bronx,303,41980,3338,127471
74,05/14/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/14/2020,Bronx,539,42519,4408,131879
75,05/15/2020,0.3,3,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/15/2020,Bronx,293,42812,3632,135511
76,05/16/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/16/2020,Bronx,210,43022,2861,138372
77,05/17/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/17/2020,Bronx,136,43158,2126,140498
78,05/18/2020,0.1,1,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/18/2020,Bronx,112,43270,2102,142600
79,05/19/2020,0.1,1,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/19/2020,Bronx,148,43418,2682,145282
80,05/20/2020,0.1,1,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/20/2020,Bronx,185,43603,3618,148900
81,05/21/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/21/2020,Bronx,163,43766,3421,152321
82,05/22/2020,0.4,5,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/22/2020,Bronx,155,43921,3518,155839
83,05/23/2020,0.1,1,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/23/2020,Bronx,216,44137,4575,160414
84,05/24/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/24/2020,Bronx,110,44247,2445,162859
85,05/25/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/25/2020,Bronx,117,44364,2233,165092
86,05/26/2020,0.3,3,PFIZER LAB SITE,18,75.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/26/2020,Bronx,139,44503,3064,168156
87,05/27/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/27/2020,Bronx,250,44753,5657,173813
88,05/28/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/28/2020,Bronx,221,44974,5781,179594
89,05/29/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/29/2020,Bronx,142,45116,4817,184411
90,05/30/2020,0.2,2,PFIZER LAB SITE,24,100.0,"New York-Newark-Jersey City, NY-NJ-PA",Bronx,40.8679,-73.87809,05/30/2020,Bronx,137,45253,4338,188749
