"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/17/2020","AQS","360010012","1","0.041","ppm","38","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/18/2020","AQS","360010012","1","0.035","ppm","32","LOUDONVILLE","14","82.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/19/2020","AQS","360010012","1","0.04","ppm","37","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/20/2020","AQS","360010012","1","0.039","ppm","36","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/21/2020","AQS","360010012","1","0.04","ppm","37","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/22/2020","AQS","360010012","1","0.044","ppm","41","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/23/2020","AQS","360010012","1","0.042","ppm","39","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/24/2020","AQS","360010012","1","0.045","ppm","42","LOUDONVILLE","14","82.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/25/2020","AQS","360010012","1","0.046","ppm","43","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/26/2020","AQS","360010012","1","0.03","ppm","28","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/27/2020","AQS","360010012","1","0.039","ppm","36","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/28/2020","AQS","360010012","1","0.039","ppm","36","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/29/2020","AQS","360010012","1","0.035","ppm","32","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/01/2020","AQS","360010012","1","0.041","ppm","38","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/02/2020","AQS","360010012","1","0.036","ppm","33","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/03/2020","AQS","360010012","1","0.041","ppm","38","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/04/2020","AQS","360010012","1","0.039","ppm","36","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/05/2020","AQS","360010012","1","0.037","ppm","34","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/06/2020","AQS","360010012","1","0.038","ppm","35","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/07/2020","AQS","360010012","1","0.042","ppm","39","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/08/2020","AQS","360010012","1","0.042","ppm","39","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/09/2020","AQS","360010012","1","0.047","ppm","44","LOUDONVILLE","17","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
