,Date,Daily Max 8-hour Ozone Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
55,04/25/2020,0.051,47,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/25/2020,Albany,49,948,402,9060
56,04/26/2020,0.042,39,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/26/2020,Albany,31,979,263,9323
57,04/27/2020,0.036000000000000004,33,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/27/2020,Albany,30,1009,197,9520
58,04/28/2020,0.042,39,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/28/2020,Albany,58,1067,351,9871
59,04/29/2020,0.043,40,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/29/2020,Albany,98,1165,439,10310
60,04/30/2020,0.039,36,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,04/30/2020,Albany,39,1204,378,10688
61,05/01/2020,0.035,32,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/01/2020,Albany,34,1238,434,11122
62,05/02/2020,0.043,40,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/02/2020,Albany,20,1258,441,11563
63,05/03/2020,0.051,47,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/03/2020,Albany,29,1287,391,11954
64,05/04/2020,0.031,29,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/04/2020,Albany,7,1294,130,12084
65,05/05/2020,0.037000000000000005,34,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/05/2020,Albany,27,1321,367,12451
66,05/06/2020,0.042,39,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/06/2020,Albany,27,1348,407,12858
67,05/07/2020,0.045,42,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/07/2020,Albany,36,1384,385,13243
68,05/08/2020,0.03,28,LOUDONVILLE,24,100.0,Albany,42.68075,-73.75733000000001,05/08/2020,Albany,32,1416,488,13731
69,05/09/2020,0.016,15,LOUDONVILLE,24,100.0,Albany,42.68075,-73.75733000000001,05/09/2020,Albany,16,1432,455,14186
70,05/10/2020,0.023,21,LOUDONVILLE,24,100.0,Albany,42.68075,-73.75733000000001,05/10/2020,Albany,24,1456,384,14570
71,05/11/2020,0.038,35,LOUDONVILLE,14,82.0,Albany,42.68075,-73.75733000000001,05/11/2020,Albany,23,1479,341,14911
72,05/12/2020,0.040999999999999995,38,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/12/2020,Albany,15,1494,335,15246
73,05/13/2020,0.04,37,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/13/2020,Albany,15,1509,546,15792
74,05/14/2020,0.05,46,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/14/2020,Albany,29,1538,541,16333
75,05/15/2020,0.047,44,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/15/2020,Albany,34,1572,482,16815
76,05/16/2020,0.04,37,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/16/2020,Albany,7,1579,411,17226
77,05/17/2020,0.044000000000000004,41,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/17/2020,Albany,31,1610,342,17568
78,05/18/2020,0.038,35,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/18/2020,Albany,45,1655,398,17966
79,05/19/2020,0.043,40,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/19/2020,Albany,27,1682,697,18663
80,05/20/2020,0.044000000000000004,41,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/20/2020,Albany,18,1700,650,19313
81,05/21/2020,0.052000000000000005,48,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/21/2020,Albany,56,1756,920,20233
82,05/22/2020,0.044000000000000004,41,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/22/2020,Albany,14,1770,655,20888
83,05/23/2020,0.047,44,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/23/2020,Albany,12,1782,438,21326
84,05/24/2020,0.043,40,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/24/2020,Albany,9,1791,378,21704
85,05/25/2020,0.035,32,LOUDONVILLE,17,100.0,Albany,42.68075,-73.75733000000001,05/25/2020,Albany,2,1793,328,22032
