"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/28/2020","AQS","360010012","1","0.4","ppb","0","LOUDONVILLE","24","100.0000","42401","Sulfur dioxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/29/2020","AQS","360010012","1","0.4","ppb","0","LOUDONVILLE","24","100.0000","42401","Sulfur dioxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/01/2020","AQS","360010012","1","0.5","ppb","0","LOUDONVILLE","24","100.0000","42401","Sulfur dioxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/02/2020","AQS","360010012","1","0.7","ppb","0","LOUDONVILLE","22","92.0000","42401","Sulfur dioxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/03/2020","AQS","360010012","1","0.5","ppb","0","LOUDONVILLE","24","100.0000","42401","Sulfur dioxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/04/2020","AQS","360010012","1","0.9","ppb","0","LOUDONVILLE","24","100.0000","42401","Sulfur dioxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/05/2020","AQS","360010012","1","0.3","ppb","0","LOUDONVILLE","24","100.0000","42401","Sulfur dioxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/06/2020","AQS","360010012","1","0.4","ppb","0","LOUDONVILLE","24","100.0000","42401","Sulfur dioxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/07/2020","AQS","360010012","1","0.4","ppb","0","LOUDONVILLE","24","100.0000","42401","Sulfur dioxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"03/08/2020","AQS","360010012","1","0.5","ppb","0","LOUDONVILLE","24","100.0000","42401","Sulfur dioxide","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
