,Date,Daily Max 1-hour NO2 Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,CBSA_NAME,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
452,03/16/2020,14.7,13,BUFFALO,19,79.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,03/16/2020,Erie,1,7,2,70
453,03/16/2020,13.2,12,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,03/16/2020,Erie,1,7,2,70
454,03/17/2020,10.1,9,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,03/17/2020,Erie,0,7,2,72
455,03/17/2020,12.0,11,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,03/17/2020,Erie,0,7,2,72
456,03/18/2020,36.9,34,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,03/18/2020,Erie,21,28,130,202
457,03/18/2020,18.9,17,Buffalo Near-Road,20,83.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,03/18/2020,Erie,21,28,130,202
458,03/19/2020,22.9,21,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,03/19/2020,Erie,3,31,43,245
459,03/19/2020,14.5,13,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,03/19/2020,Erie,3,31,43,245
460,03/20/2020,7.0,7,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,03/20/2020,Erie,7,38,55,300
461,03/20/2020,6.0,6,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,03/20/2020,Erie,7,38,55,300
462,03/21/2020,33.3,31,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,03/21/2020,Erie,16,54,111,411
463,03/21/2020,16.3,15,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,03/21/2020,Erie,16,54,111,411
464,03/22/2020,32.6,30,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,03/22/2020,Erie,33,87,247,658
465,03/22/2020,26.5,25,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,03/22/2020,Erie,33,87,247,658
466,03/23/2020,26.2,25,BUFFALO,20,83.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,03/23/2020,Erie,20,107,100,758
467,03/23/2020,14.1,13,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,03/23/2020,Erie,20,107,100,758
468,03/24/2020,18.2,17,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,03/24/2020,Erie,15,122,114,872
469,03/24/2020,18.3,17,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,03/24/2020,Erie,15,122,114,872
470,03/25/2020,21.3,20,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,03/25/2020,Erie,12,134,116,988
